date,XOM,CVX,MA,V,JPM,BAC,KO,PEP
2018-10-01,61.35615921020508,90.58138275146484,214.9102020263672,143.35154724121094,92.62992095947266,25.011579513549805,37.24398422241211,89.7086181640625
2018-10-02,61.8209228515625,90.83624267578125,213.56564331054688,142.28683471679688,93.01348114013672,24.952533721923828,37.46955871582031,88.09609985351562
2018-10-03,61.59926986694336,91.25132751464844,214.29554748535156,142.00157165527344,93.88674926757812,25.30682373046875,36.95396423339844,87.12372589111328
2018-10-04,61.19169998168945,90.98918151855469,207.5918731689453,139.52035522460938,94.73323822021484,25.6695556640625,36.93784713745117,86.3863525390625
2018-10-05,61.02008819580078,91.26588439941406,205.05352783203125,138.18939208984375,94.19904327392578,25.500837326049805,36.96202087402344,86.28911590576172
2018-10-08,61.5849609375,90.9090805053711,200.24591064453125,134.89059448242188,94.77433776855469,25.534584045410156,37.44539260864258,87.6666488647461
2018-10-09,61.85667419433594,92.3509292602539,201.6881561279297,135.28981018066406,94.11685943603516,25.289953231811523,37.372894287109375,87.60992431640625
2018-10-10,60.43378448486328,89.27790832519531,189.1211395263672,128.83482360839844,91.61026000976562,24.665719985961914,36.80089569091797,86.97786712646484
2018-10-11,58.34591293334961,86.24130249023438,187.02503967285156,127.13308715820312,88.86531066894531,23.923381805419922,35.963050842285156,85.13038635253906
2018-10-12,58.18861389160156,85.76066589355469,196.36138916015625,133.1508331298828,87.89554595947266,24.007741928100586,35.995269775390625,85.30864715576172
2018-10-15,57.78819274902344,85.1562728881836,192.61146545410156,130.46044921875,87.39421844482422,23.552215576171875,36.18056106567383,85.59226989746094
2018-10-16,58.05989456176758,85.57134246826172,199.78443908691406,134.74795532226562,89.26801300048828,24.066789627075195,36.647823333740234,87.01839447021484
2018-10-17,58.2744140625,85.4111328125,199.39976501464844,135.42298889160156,90.26245880126953,24.37890625,36.9459114074707,87.76388549804688
2018-10-18,58.52466583251953,85.5422134399414,195.784423828125,132.4187774658203,88.83244323730469,23.830596923828125,36.7445068359375,87.45596313476562
2018-10-19,58.61045455932617,86.03009033203125,195.24600219726562,133.1698760986328,88.68452453613281,23.8896427154541,37.324546813964844,89.36825561523438
2018-10-22,58.02416229248047,85.35287475585938,196.63059997558594,133.7022705078125,87.4106674194336,23.096694946289062,37.0345344543457,88.64708709716797
2018-10-23,57.08747100830078,82.57839965820312,194.64024353027344,132.25721740722656,86.49842071533203,22.793012619018555,37.348724365234375,89.2386245727539
2018-10-24,55.500125885009766,80.25544738769531,188.15960693359375,127.63692474365234,84.88761138916016,22.092853546142578,37.64680099487305,91.53178405761719
2018-10-25,55.99348068237305,81.25308227539062,196.34214782714844,133.58816528320312,86.17790222167969,22.430282592773438,37.46955871582031,91.44264221191406
2018-10-26,55.43577194213867,81.21668243408203,189.89035034179688,130.94529724121094,84.99445343017578,22.26156997680664,36.99424362182617,89.49794006347656
2018-10-29,55.09256362915039,79.32332611083984,183.68858337402344,127.70350646972656,86.169677734375,22.44715690612793,37.429283142089844,91.47506713867188
2018-10-30,56.32954406738281,80.72148132324219,180.50592041015625,126.21098327636719,87.6900863647461,22.590560913085938,38.371864318847656,92.18809509277344
2018-10-31,56.97306823730469,81.3040542602539,190.06338500976562,131.0498809814453,89.59674072265625,23.197925567626953,38.573265075683594,91.06182098388672
2018-11-01,57.68094253540039,80.9544906616211,192.02493286132812,133.88287353515625,89.56388092041016,23.459428787231445,38.460479736328125,90.35682678222656
2018-11-02,58.59617233276367,83.54693603515625,190.11148071289062,132.88465881347656,89.07078552246094,23.52691078186035,38.66994857788086,90.08134460449219
2018-11-05,58.3745231628418,86.61265563964844,190.36146545410156,132.9036865234375,89.65426635742188,23.670318603515625,39.2258186340332,92.69051361083984
2018-11-06,58.6247673034668,86.58357238769531,191.48646545410156,133.84483337402344,90.07344055175781,23.79685401916504,39.5641975402832,93.35496520996094
2018-11-07,59.36839294433594,88.01810455322266,200.2266845703125,137.6380615234375,91.61846923828125,24.075223922729492,39.773651123046875,93.6790771484375
2018-11-08,58.424556732177734,86.91850280761719,200.82281494140625,138.0658416748047,92.3581314086914,24.353601455688477,39.741432189941406,94.04370880126953
2018-11-09,58.41011428833008,87.02774047851562,197.70748901367188,136.8299560546875,91.46229553222656,24.0583553314209,40.02338790893555,95.19436645507812
2018-11-12,57.658966064453125,85.48396301269531,191.4768829345703,132.82762145996094,89.53924560546875,23.408811569213867,40.176456451416016,94.78111267089844
2018-11-13,56.33720397949219,83.99840545654297,190.5441436767578,132.82762145996094,90.06519317626953,23.417251586914062,40.16841125488281,94.9188461303711
2018-11-14,55.8966178894043,84.26786041259766,189.9768829345703,132.60897827148438,88.20784759521484,22.953285217285156,40.08784103393555,94.52181243896484
2018-11-15,56.47443771362305,85.9958724975586,192.9864501953125,135.0851287841797,90.45967864990234,23.53534698486328,40.07172393798828,94.64332580566406
2018-11-16,57.03058624267578,87.54739379882812,191.38076782226562,133.50416564941406,90.39392852783203,23.408811569213867,40.418148040771484,95.8993148803711
2018-11-19,57.21836471557617,87.81209564208984,181.99632263183594,128.34228515625,91.08428955078125,23.408811569213867,40.692054748535156,96.43413543701172
2018-11-20,55.593265533447266,85.37083435058594,179.86170959472656,127.01850128173828,89.1283187866211,23.096694946289062,39.78170394897461,93.99510192871094
2018-11-21,56.01940155029297,86.45176696777344,180.43858337402344,128.01852416992188,88.46263885498047,23.003904342651367,39.2580451965332,93.41168212890625
2018-11-23,54.52428436279297,83.53250885009766,175.5733642578125,126.5423355102539,87.64900207519531,22.75083351135254,39.49168395996094,93.51703643798828
