date,MA,V,zscore,signal,pos_y,pos_x,equity,ret
2018-10-01,214.9102020263672,143.35154724121094,,0,0.0,0.0,100000.0,
2018-10-02,213.56564331054688,142.28683471679688,,0,0.0,0.0,100000.0,0.0
2018-10-03,214.29554748535156,142.00157165527344,,0,0.0,0.0,100000.0,0.0
2018-10-04,207.5918731689453,139.52035522460938,,0,0.0,0.0,100000.0,0.0
2018-10-05,205.05352783203125,138.18939208984375,,0,0.0,0.0,100000.0,0.0
2018-10-08,200.24591064453125,134.89059448242188,,0,0.0,0.0,100000.0,0.0
2018-10-09,201.6881561279297,135.28981018066406,,0,0.0,0.0,100000.0,0.0
2018-10-10,189.1211395263672,128.83482360839844,,0,0.0,0.0,100000.0,0.0
2018-10-11,187.02503967285156,127.13308715820312,,0,0.0,0.0,100000.0,0.0
2018-10-12,196.36138916015625,133.1508331298828,,0,0.0,0.0,100000.0,0.0
2018-10-15,192.61146545410156,130.46044921875,,0,0.0,0.0,100000.0,0.0
2018-10-16,199.7844390869141,134.74795532226562,,0,0.0,0.0,100000.0,0.0
2018-10-17,199.39976501464844,135.42298889160156,,0,0.0,0.0,100000.0,0.0
2018-10-18,195.784423828125,132.4187774658203,,0,0.0,0.0,100000.0,0.0
2018-10-19,195.2460021972656,133.1698760986328,,0,0.0,0.0,100000.0,0.0
2018-10-22,196.6305999755859,133.7022705078125,,0,0.0,0.0,100000.0,0.0
2018-10-23,194.64024353027344,132.25721740722656,,0,0.0,0.0,100000.0,0.0
2018-10-24,188.15960693359375,127.63692474365234,,0,0.0,0.0,100000.0,0.0
2018-10-25,196.34214782714844,133.58816528320312,,0,0.0,0.0,100000.0,0.0
2018-10-26,189.89035034179688,130.94529724121094,,0,0.0,0.0,100000.0,0.0
2018-10-29,183.68858337402344,127.70350646972656,,0,0.0,0.0,100000.0,0.0
2018-10-30,180.50592041015625,126.2109832763672,,0,0.0,0.0,100000.0,0.0
2018-10-31,190.0633850097656,131.0498809814453,,0,0.0,0.0,100000.0,0.0
2018-11-01,192.02493286132812,133.88287353515625,,0,0.0,0.0,100000.0,0.0
2018-11-02,190.11148071289065,132.88465881347656,,0,0.0,0.0,100000.0,0.0
2018-11-05,190.36146545410156,132.9036865234375,,0,0.0,0.0,100000.0,0.0
2018-11-06,191.48646545410156,133.84483337402344,,0,0.0,0.0,100000.0,0.0
2018-11-07,200.2266845703125,137.6380615234375,,0,0.0,0.0,100000.0,0.0
2018-11-08,200.82281494140625,138.0658416748047,,0,0.0,0.0,100000.0,0.0
2018-11-09,197.70748901367188,136.8299560546875,,0,0.0,0.0,100000.0,0.0
2018-11-12,191.4768829345703,132.82762145996094,,0,0.0,0.0,100000.0,0.0
2018-11-13,190.5441436767578,132.82762145996094,,0,0.0,0.0,100000.0,0.0
2018-11-14,189.9768829345703,132.60897827148438,,0,0.0,0.0,100000.0,0.0
2018-11-15,192.9864501953125,135.0851287841797,,0,0.0,0.0,100000.0,0.0
2018-11-16,191.3807678222656,133.50416564941406,,0,0.0,0.0,100000.0,0.0
2018-11-19,181.9963226318359,128.34228515625,,0,0.0,0.0,100000.0,0.0
2018-11-20,179.86170959472656,127.01850128173828,,0,0.0,0.0,100000.0,0.0
2018-11-21,180.43858337402344,128.01852416992188,,0,0.0,0.0,100000.0,0.0
2018-11-23,175.5733642578125,126.5423355102539,,0,0.0,0.0,100000.0,0.0
2018-11-26,184.4673614501953,129.46612548828125,,0,0.0,0.0,100000.0,0.0
2018-11-27,185.5538787841797,129.43751525878906,,0,0.0,0.0,100000.0,0.0
2018-11-28,194.49598693847656,134.64707946777344,,0,0.0,0.0,100000.0,0.0
2018-11-29,189.09230041503903,132.4756622314453,,0,0.0,0.0,100000.0,0.0
2018-11-30,193.3325653076172,134.96131896972656,,0,0.0,0.0,100000.0,0.0
2018-12-03,201.78436279296875,138.09466552734375,,0,0.0,0.0,100000.0,0.0
2018-12-04,192.77488708496097,132.03753662109375,,0,0.0,0.0,100000.0,0.0
2018-12-06,195.1786651611328,134.33277893066406,,0,0.0,0.0,100000.0,0.0
2018-12-07,188.93844604492188,130.58041381835938,,0,0.0,0.0,100000.0,0.0
2018-12-10,190.43841552734375,131.31378173828125,,0,0.0,0.0,100000.0,0.0
2018-12-11,190.13072204589844,130.29470825195312,,0,0.0,0.0,100000.0,0.0
2018-12-12,192.5825653076172,131.23751831054688,,0,0.0,0.0,100000.0,0.0
2018-12-13,191.30381774902344,130.98995971679688,,0,0.0,0.0,100000.0,0.0
2018-12-14,187.81344604492188,128.65660095214844,,0,0.0,0.0,100000.0,0.0
2018-12-17,183.12123107910156,125.142333984375,,0,0.0,0.0,100000.0,0.0
2018-12-18,184.23663330078125,126.34236907958984,,0,0.0,0.0,100000.0,0.0
2018-12-19,179.91943359375,125.0089874267578,,0,0.0,0.0,100000.0,0.0
2018-12-20,175.6790771484375,122.6280517578125,,0,0.0,0.0,100000.0,0.0
2018-12-21,168.4484405517578,118.34235382080078,,0,0.0,0.0,100000.0,0.0
2018-12-24,167.92922973632812,115.93285369873048,,0,0.0,0.0,100000.0,0.0
2018-12-26,179.25592041015625,124.02803802490234,,0,0.0,0.0,100000.0,0.0
2018-12-27,181.42898559570312,125.72330474853516,,0,0.0,0.0,100000.0,0.0
2018-12-28,178.99632263183594,124.70425415039062,,0,0.0,0.0,100000.0,0.0
2018-12-31,181.3905487060547,125.65664672851562,,0,0.0,0.0,100000.0,0.0
2019-01-02,182.4385986328125,126.58995819091795,,0,0.0,0.0,100000.0,0.0
2019-01-03,174.20799255371094,122.028076171875,,0,0.0,0.0,100000.0,0.0
2019-01-04,182.4578399658203,127.28518676757812,,0,0.0,0.0,100000.0,0.0
2019-01-07,183.8616180419922,129.58042907714844,,0,0.0,0.0,100000.0,0.0
2019-01-08,185.20040893554688,130.28517150878906,,0,0.0,0.0,100000.0,0.0
2019-01-09,188.56198120117188,131.81846618652344,,0,0.0,0.0,100000.0,0.0
2019-01-10,189.6984405517578,132.06613159179688,,0,0.0,0.0,100000.0,0.0
2019-01-11,188.6871795654297,131.48513793945312,,0,0.0,0.0,100000.0,0.0
2019-01-14,188.2344512939453,130.57089233398438,,0,0.0,0.0,100000.0,0.0
2019-01-15,189.28436279296875,130.79946899414062,,0,0.0,0.0,100000.0,0.0
2019-01-16,190.48828125,130.79946899414062,,0,0.0,0.0,100000.0,0.0
2019-01-17,191.9716033935547,130.74224853515625,,0,0.0,0.0,100000.0,0.0
2019-01-18,194.56253051757812,131.90415954589844,,0,0.0,0.0,100000.0,0.0
2019-01-22,192.11610412597656,131.47569274902344,,0,0.0,0.0,100000.0,0.0
2019-01-23,191.0469512939453,130.4851837158203,,0,0.0,0.0,100000.0,0.0
2019-01-24,192.4339599609375,131.14234924316406,,0,0.0,0.0,100000.0,0.0
2019-01-25,195.4679412841797,132.06613159179688,,0,0.0,0.0,100000.0,0.0
2019-01-28,192.790283203125,129.5137939453125,,0,0.0,0.0,100000.0,0.0
2019-01-29,191.90419006347656,128.57090759277344,,0,0.0,0.0,100000.0,0.0
2019-01-30,196.5082092285156,131.04710388183594,,0,0.0,0.0,100000.0,0.0
2019-01-31,203.35641479492188,128.58045959472656,,0,0.0,0.0,100000.0,0.0
2019-02-01,205.89923095703125,133.47564697265625,,0,0.0,0.0,100000.0,0.0
2019-02-04,206.99722290039065,134.7613525390625,,0,0.0,0.0,100000.0,0.0
2019-02-05,207.9122314453125,135.7422637939453,,0,0.0,0.0,100000.0,0.0
2019-02-06,207.37290954589844,134.75184631347656,,0,0.0,0.0,100000.0,0.0
2019-02-07,206.09182739257812,133.49468994140625,,0,0.0,0.0,100000.0,0.0
2019-02-08,208.6057586669922,133.69464111328125,2.978074549569397,-1,-237.23298286706708,409.4737261512607,99979.15347815299,-0.00020846521847006638
2019-02-11,209.1066131591797,134.09463500976562,2.7809663114463663,-1,-237.23298286706708,409.4737261512607,100024.12126422022,0.00044977162241166546
2019-02-12,210.84996032714844,135.22801208496094,2.6080697387467078,-1,-237.23298286706708,409.4737261512607,100074.62994950477,0.0005049650488919699
2019-02-13,212.419921875,136.6565704345703,2.3304367991715584,-1,-237.23298286706708,409.4737261512607,100287.14039896039,0.0021235197128666172
2019-02-14,211.716796875,136.5802764892578,2.1323121141144243,-1,-237.23298286706708,409.4737261512607,100422.70447396892,0.0013517593030296648
2019-02-15,213.93212890625,138.2498321533203,1.9337150766768052,-1,-237.23298286706708,409.4737261512607,100580.79382693513,0.0015742391503426045
2019-02-19,212.46807861328125,137.80145263671875,1.749221230215537,-1,-237.23298286706708,409.4737261512607,100744.51521361076,0.0016277599375218443
2019-02-20,212.96896362304688,138.0780792236328,1.7126522540519158,-1,-237.23298286706708,409.4737261512607,100738.96008796687,-5.514072534984482e-05
2019-02-21,211.23519897460935,137.3816680908203,1.571282569396685,-1,-237.23298286706708,409.4737261512607,100865.10418561922,0.0012521878083930904
2019-02-22,215.09759521484375,139.1656951904297,1.6791479710994364,-1,-237.23298286706708,409.4737261512607,100679.32862856575,-0.001841821892253126
2019-02-25,215.09759521484375,139.34695434570312,1.5805068125149708,-1,-237.23298286706708,409.4737261512607,100753.5494902746,0.0007372006023467215
2019-02-26,215.7525329589844,140.28192138671875,1.3750359194270247,-1,-237.23298286706708,409.4737261512607,100981.02109375317,0.002257703124399768
2019-02-27,216.30157470703125,140.45362854003906,1.392576957224415,-1,-237.23298286706708,409.4737261512607,100921.07985002236,-0.0005935892020259015
2019-02-28,216.4942169189453,141.3123321533203,1.1356759429637535,-1,-237.23298286706708,409.4737261512607,101226.9953316537,0.003031234724063081
2019-03-01,218.8829040527344,142.6002655029297,1.1460412228172316,-1,-237.23298286706708,409.4737261512607,101187.69482546774,-0.00038824135851500685
2019-03-04,217.958251953125,141.1596221923828,1.3928682994781894,-1,-237.23298286706708,409.4737261512607,100817.14721674786,-0.003661982905718064
