date,JPM,BAC,spread,zscore_full,signal,position
2018-10-01,92.62992095947266,25.011579513549805,-64.10551130810475,-0.2147651211815831,0,0
2018-10-02,93.01348114013672,24.952533721923828,-63.35193980252356,-0.1883567198293683,0,0
2018-10-03,93.88674926757812,25.30682373046875,-64.69883524401186,-0.2355577553447156,0,0
2018-10-04,94.73323822021484,25.6695556640625,-66.12541130825147,-0.2855511441404436,0,0
2018-10-05,94.19904327392578,25.500837326049805,-65.60233029859535,-0.2672201255968658,0,0
2018-10-08,94.77433776855467,25.534584045410156,-65.23851011904087,-0.2544702946245555,0,0
2018-10-09,94.11685943603516,25.289953231811523,-64.36300584666017,-0.2237888423146299,0,0
2018-10-10,91.61026000976562,24.66571998596191,-62.95783842225845,-0.1745457047545931,0,0
2018-10-11,88.86531066894531,23.92338180541992,-61.05091459557474,-0.1077188550260787,0,0
2018-10-12,87.89554595947266,24.007741928100582,-62.54932325923414,-0.1602295684573603,0,0
2018-10-15,87.39421844482422,23.552215576171875,-60.19608816458637,-0.0777620436169059,0,0
2018-10-16,89.26801300048828,24.066789627075195,-61.54687949556404,-0.1250996079321046,0,0
2018-10-17,90.26245880126952,24.37890625,-62.508317120118406,-0.1587925361762127,0,0
2018-10-18,88.83244323730469,23.830596923828125,-60.50234419693729,-0.0884945781659959,0,0
2018-10-19,88.68452453613281,23.8896427154541,-61.02027422302629,-0.1066450839906191,0,0
2018-10-22,87.4106674194336,23.096694946289062,-57.325112437965856,0.0228493498600626,0,0
2018-10-23,86.49842071533203,22.793012619018555,-56.33432935496495,0.0575706697548388,0,0
2018-10-24,84.88761138916016,22.092853546142575,-53.55758151451198,0.1548799109900449,0,0
2018-10-25,86.17790222167969,22.43028259277344,-54.38179478416936,0.1259959170177063,0,0
2018-10-26,84.99445343017578,22.26156997680664,-54.508003477013176,0.1215730191373156,0,0
2018-10-29,86.169677734375,22.44715690612793,-54.495762405225435,0.1220019991801618,0,0
2018-10-30,87.6900863647461,22.590560913085938,-53.87399710152985,0.1437913417511908,0,0
2018-10-31,89.59674072265625,23.197925567626953,-55.77340231782463,0.0772279766147704,0,0
2018-11-01,89.56388092041016,23.459428787231445,-57.44497590629399,0.0186488160611678,0,0
2018-11-02,89.07078552246094,23.52691078186035,-58.36094821982184,-0.0134508112522401,0,0
2018-11-05,89.65426635742188,23.670318603515625,-58.67613461639317,-0.024496304347145,0,0
2018-11-06,90.0734405517578,23.79685401916504,-59.0498964722665,-0.0375945346105609,0,0
2018-11-07,91.61846923828124,24.075223922729492,-59.24927689600425,-0.0445816860790606,0,0
2018-11-08,92.3581314086914,24.353601455688477,-60.25407164556873,-0.0797940353074618,0,0
2018-11-09,91.46229553222656,24.0583553314209,-59.29974332559263,-0.0463502478114412,0,0
2018-11-12,89.53924560546875,23.408811569213867,-57.1524176772663,0.028901320400617,0,0
2018-11-13,90.06519317626953,23.417251586914062,-56.679359601983776,0.045479319200256,0,0
2018-11-14,88.20784759521484,22.953285217285156,-55.62925307822397,0.0822795887654382,0,0
2018-11-15,90.45967864990234,23.53534698486328,-57.024920683041955,0.0333693659274721,0,0
2018-11-16,90.39392852783205,23.408811569213867,-56.29773475490301,0.05885310264754,0,0
2018-11-19,91.08428955078124,23.408811569213867,-55.607373731953814,0.0830463355881975,0,0
2018-11-20,89.1283187866211,23.096694946289062,-55.60746107077835,0.0830432748584392,0,0
2018-11-21,88.46263885498047,23.003904342651367,-55.691667314855806,0.0800923242538979,0,0
2018-11-23,87.64900207519531,22.75083351135254,-54.919431994222464,0.1071547863223291,0,0
2018-11-26,89.79399871826172,23.24853515625,-55.89329005647477,0.0730265922789331,0,0
2018-11-27,90.17203521728516,23.400371551513672,-56.466738569931664,0.0529304787899803,0,0
2018-11-28,91.1746826171875,23.982431411743164,-59.11157787710641,-0.0397561175299212,0,0
2018-11-29,90.4514389038086,23.6534423828125,-57.7732069838267,0.0071461809859889,0,0
2018-11-30,91.38014221191406,23.957128524780273,-58.74755736768043,-0.0269992661333907,0,0
2018-12-03,92.2430648803711,24.075223922729492,-58.62468125391439,-0.0226931562222532,0,0
2018-12-04,88.12567138671875,22.76770782470703,-54.54850581645045,0.120153642173562,0,0
2018-12-06,86.44913482666016,22.29267120361328,-53.24821837745998,0.1657213319120695,0,0
2018-12-07,84.88761138916016,21.571638107299805,-50.29137727230088,0.2693418192333682,0,0
2018-12-10,83.30146026611328,21.003297805786133,-48.31601550550516,0.3385670300687065,0,0
2018-12-11,82.48786926269531,20.850603103637695,-48.17274290367823,0.3435879210442798,0,0
2018-12-12,83.02204132080078,20.799711227416992,-47.31965615191902,0.3734837665769995,0,0
2018-12-13,83.10423278808594,20.697914123535156,-46.599551630327824,0.398719340216502,0,0
2018-12-14,82.422119140625,20.765775680541992,-47.70692072661219,0.3599123427078014,0,0
2018-12-17,81.37014770507812,20.757295608520508,-48.70575166564512,0.3249089911669978,0,0
2018-12-18,80.98389434814453,20.757295608520508,-49.09200502257872,0.3113730047370496,0,0
2018-12-19,79.95660400390625,20.511295318603516,-48.5777309183502,0.3293953912643149,0,0
2018-12-20,79.2662582397461,20.451913833618164,-48.89596173020087,0.3182432087046624,0,0
2018-12-21,77.3924560546875,19.824195861816406,-46.8361599779641,0.3904275614517993,0,0
2018-12-24,75.72411346435547,19.281295776367188,-45.1024111679953,0.4511856103940411,0,0
2018-12-26,78.86355590820312,20.451913833618164,-49.298664061743835,0.3041307791368043,0,0
2018-12-27,79.75113677978516,20.672466278076172,-49.793178339373384,0.2868008623056607,0,0
