date,XOM,CVX,zscore,signal,pos_y,pos_x,equity,ret
2018-10-01,61.35615921020508,90.58138275146484,,0,0.0,0.0,100000.0,
2018-10-02,61.8209228515625,90.83624267578124,,0,0.0,0.0,100000.0,0.0
2018-10-03,61.59926986694336,91.25132751464844,,0,0.0,0.0,100000.0,0.0
2018-10-04,61.19169998168945,90.98918151855467,,0,0.0,0.0,100000.0,0.0
2018-10-05,61.02008819580078,91.26588439941406,,0,0.0,0.0,100000.0,0.0
2018-10-08,61.5849609375,90.9090805053711,,0,0.0,0.0,100000.0,0.0
2018-10-09,61.85667419433594,92.3509292602539,,0,0.0,0.0,100000.0,0.0
2018-10-10,60.43378448486328,89.27790832519531,,0,0.0,0.0,100000.0,0.0
2018-10-11,58.34591293334961,86.24130249023438,,0,0.0,0.0,100000.0,0.0
2018-10-12,58.18861389160156,85.76066589355469,,0,0.0,0.0,100000.0,0.0
2018-10-15,57.78819274902344,85.1562728881836,,0,0.0,0.0,100000.0,0.0
2018-10-16,58.05989456176758,85.57134246826172,,0,0.0,0.0,100000.0,0.0
2018-10-17,58.2744140625,85.4111328125,,0,0.0,0.0,100000.0,0.0
2018-10-18,58.52466583251953,85.5422134399414,,0,0.0,0.0,100000.0,0.0
2018-10-19,58.61045455932617,86.03009033203125,,0,0.0,0.0,100000.0,0.0
2018-10-22,58.02416229248047,85.35287475585938,,0,0.0,0.0,100000.0,0.0
2018-10-23,57.08747100830078,82.57839965820312,,0,0.0,0.0,100000.0,0.0
2018-10-24,55.500125885009766,80.25544738769531,,0,0.0,0.0,100000.0,0.0
2018-10-25,55.99348068237305,81.25308227539062,,0,0.0,0.0,100000.0,0.0
2018-10-26,55.43577194213867,81.21668243408203,,0,0.0,0.0,100000.0,0.0
2018-10-29,55.09256362915039,79.32332611083984,,0,0.0,0.0,100000.0,0.0
2018-10-30,56.32954406738281,80.72148132324219,,0,0.0,0.0,100000.0,0.0
2018-10-31,56.97306823730469,81.3040542602539,,0,0.0,0.0,100000.0,0.0
2018-11-01,57.68094253540039,80.9544906616211,,0,0.0,0.0,100000.0,0.0
2018-11-02,58.59617233276367,83.54693603515625,,0,0.0,0.0,100000.0,0.0
2018-11-05,58.3745231628418,86.61265563964844,,0,0.0,0.0,100000.0,0.0
2018-11-06,58.6247673034668,86.58357238769531,,0,0.0,0.0,100000.0,0.0
2018-11-07,59.36839294433594,88.01810455322266,,0,0.0,0.0,100000.0,0.0
2018-11-08,58.424556732177734,86.91850280761719,,0,0.0,0.0,100000.0,0.0
2018-11-09,58.41011428833008,87.02774047851562,,0,0.0,0.0,100000.0,0.0
2018-11-12,57.658966064453125,85.48396301269531,,0,0.0,0.0,100000.0,0.0
2018-11-13,56.33720397949219,83.99840545654297,,0,0.0,0.0,100000.0,0.0
2018-11-14,55.8966178894043,84.26786041259766,,0,0.0,0.0,100000.0,0.0
2018-11-15,56.47443771362305,85.9958724975586,,0,0.0,0.0,100000.0,0.0
2018-11-16,57.03058624267578,87.54739379882812,,0,0.0,0.0,100000.0,0.0
2018-11-19,57.21836471557617,87.81209564208984,,0,0.0,0.0,100000.0,0.0
2018-11-20,55.593265533447266,85.37083435058594,,0,0.0,0.0,100000.0,0.0
2018-11-21,56.01940155029297,86.45176696777344,,0,0.0,0.0,100000.0,0.0
2018-11-23,54.52428436279297,83.53250885009766,,0,0.0,0.0,100000.0,0.0
2018-11-26,55.60048294067383,84.54724884033203,,0,0.0,0.0,100000.0,0.0
2018-11-27,55.65104675292969,84.71637725830078,,0,0.0,0.0,100000.0,0.0
2018-11-28,56.66221618652344,86.87088775634766,,0,0.0,0.0,100000.0,0.0
