date,XOM,CVX,spread,zscore_full
2018-10-01,61.35615921020508,90.58138275146484,-15.258178404161654,0.9166655614314623
2018-10-02,61.8209228515625,90.83624267578124,-15.008976986440445,0.9487651725290381
2018-10-03,61.59926986694336,91.25132751464844,-15.58171149595563,0.8749912944118367
2018-10-04,61.19169998168945,90.98918151855467,-15.76755654947354,0.8510526106078508
2018-10-05,61.02008819580078,91.26588439941406,-16.17320547731218,0.7988010104972277
2018-10-08,61.5849609375,90.9090805053711,-15.306545622522265,0.910435384599226
2018-10-09,61.85667419433594,92.3509292602539,-16.25435765819087,0.7883478057372119
2018-10-10,60.43378448486328,89.27790832519531,-15.078065766952207,0.9398658532317683
2018-10-11,58.34591293334961,86.24130249023438,-14.597555852267845,1.00176028999277
2018-10-12,58.18861389160156,85.76066589355469,-14.348329255200312,1.0338631444395694
2018-10-15,57.78819274902344,85.1562728881836,-14.237550763165729,1.0481325115435085
2018-10-16,58.05989456176758,85.57134246826172,-14.316917569332077,1.0379092807316896
2018-10-17,58.2744140625,85.4111328125,-13.966891673325378,1.0829960833616221
2018-10-18,58.52466583251953,85.5422134399414,-13.82750877216661,1.100949981705225
2018-10-19,58.61045455932617,86.03009033203125,-14.154369574318665,1.0588470726284374
2018-10-22,58.02416229248047,85.35287475585938,-14.16786839051791,1.0571082913878018
2018-10-23,57.08747100830078,82.57839965820312,-12.757890134249976,1.238727457506963
2018-10-24,55.500125885009766,80.25544738769531,-12.380466735481008,1.287343329881986
2018-10-25,55.99348068237305,81.25308227539062,-12.730918179312738,1.2422017124768736
2018-10-26,55.43577194213867,81.21668243408203,-13.257839691019399,1.174329002283656
2018-10-29,55.09256362915039,79.32332611083984,-11.999634599101057,1.3363982814269706
2018-10-30,56.32954406738281,80.72148132324219,-11.945223163752928,1.343407013278929
2018-10-31,56.97306823730469,81.3040542602539,-11.79444306910834,1.362828983039798
2018-11-01,57.68094253540039,80.9544906616211,-10.79090554806504,1.492094556413675
2018-11-02,58.59617233276367,83.54693603515625,-12.068383336539696,1.3275427630458574
2018-11-05,58.3745231628418,86.61265563964844,-14.883038593087562,0.9649872850910286
2018-11-06,58.6247673034668,86.58357238769531,-14.608195644005704,1.000389779423177
2018-11-07,59.36839294433594,88.01810455322266,-15.07790687557025,0.9398863200156825
2018-11-08,58.424556732177734,86.91850280761719,-15.091692598100636,0.9381105823976102
2018-11-09,58.41011428833008,87.02774047851562,-15.198528992495312,0.9243489965186208
2018-11-12,57.658966064453125,85.48396301269531,-14.643939940398795,0.9957855599782527
2018-11-13,56.33720397949219,83.99840545654297,-14.709207537249384,0.9873784469877436
2018-11-14,55.8966178894043,84.26786041259766,-15.377700426151335,0.9012699410592026
2018-11-15,56.47443771362305,85.9958724975586,-16.261444747427618,0.7874349184414905
2018-11-16,57.03058624267578,87.54739379882812,-17.0175832820146,0.6900367851640681
2018-11-19,57.21836471557617,87.81209564208984,-17.053691393429688,0.6853857027404963
2018-11-20,55.593265533447266,85.37083435058594,-16.613955494542566,0.7420280423748192
2018-11-21,56.01940155029297,86.45176696777344,-17.10207949400518,0.6791528360721316
2018-11-23,54.52428436279297,83.53250885009766,-16.12806869717359,0.8046150748869676
2018-11-26,55.60048294067383,84.54724884033203,-15.91014397028843,0.8326859383897783
2018-11-27,55.65104675292969,84.71637725830078,-16.002630101860376,0.820772808510638
2018-11-28,56.66221618652344,86.87088775634766,-16.813760015848516,0.7162912408425203
2018-11-29,57.10279846191406,87.3929672241211,-16.814756036025216,0.7161629435775618
2018-11-30,57.42060089111328,87.45914459228516,-16.552926866153058,0.7498891342379213
2018-12-03,58.66292190551758,88.73124694824219,-16.386558508010765,0.7713190267487426
2018-12-04,57.37004470825195,86.20909118652344,-15.546179541871041,0.8795681620640434
2018-12-06,56.61888885498047,85.23112487792969,-15.470164969320507,0.889359591980186
2018-12-07,56.07718276977539,84.92230224609375,-15.750666812994467,0.8532281759697031
2018-12-10,55.282684326171875,84.51785278320312,-16.20307920362977,0.794952978629677
2018-12-11,55.38379669189453,84.9075927734375,-16.43161152080586,0.7655157524226128
2018-12-12,54.907100677490234,85.01788330078125,-17.001591998760077,0.6920966208508602
2018-12-13,55.60048294067383,85.253173828125,-16.507220032745792,0.7557766271353986
2018-12-14,54.58930206298828,83.70162963867188,-16.206094487813303,0.7945645801585721
2018-12-17,53.476993560791016,82.68692016601562,-16.460154950985952,0.7618390758749826
2018-12-18,52.00358200073242,80.6941909790039,-16.24810287524849,0.7891534837377066
2018-12-19,51.12239837646485,79.28972625732422,-15.941380871607159,0.8286623160789846
2018-12-20,49.56951522827149,77.19406127929688,-15.721736605489276,0.8569546732680761
2018-12-21,49.2011604309082,76.62786865234375,-15.61120190306238,0.8711926378556575
2018-12-24,47.31602096557617,74.2601318359375,-15.493693778747406,0.8863288482585054
2018-12-26,49.57673645019531,78.96619415283203,-17.213397186276126,0.6648140146366354
2018-12-27,49.79341125488281,80.38536071777344,-18.19706292657422,0.5381081234650923
2018-12-28,49.237266540527344,79.89270782470703,-18.336518538494076,0.5201448592552159
2018-12-31,49.251708984375,79.9956283569336,-18.409126967176064,0.5107921744093161
2019-01-02,50.33512496948242,81.39275360107422,-18.507408830928355,0.49813249681501415
2019-01-03,49.562294006347656,79.8338623046875,-17.961719139403115,0.5684227344793623
2019-01-04,51.3896369934082,81.48834228515625,-17.53374635347579,0.623549868643511
2019-01-07,51.65687561035156,82.54721069335938,-18.16210569773655,0.5426109608124845
2019-01-08,52.03245544433594,82.18687438964844,-17.48175101500682,0.6302473832844909
