date,JPM,BAC,zscore,signal,pos_y,pos_x,equity,ret
2018-10-01,92.62992095947266,25.011579513549805,,0,0.0,0.0,100000.0,
2018-10-02,93.01348114013672,24.952533721923828,,0,0.0,0.0,100000.0,0.0
2018-10-03,93.88674926757812,25.30682373046875,,0,0.0,0.0,100000.0,0.0
2018-10-04,94.73323822021484,25.6695556640625,,0,0.0,0.0,100000.0,0.0
2018-10-05,94.19904327392578,25.500837326049805,,0,0.0,0.0,100000.0,0.0
2018-10-08,94.77433776855467,25.534584045410156,,0,0.0,0.0,100000.0,0.0
2018-10-09,94.11685943603516,25.289953231811523,,0,0.0,0.0,100000.0,0.0
2018-10-10,91.61026000976562,24.66571998596191,,0,0.0,0.0,100000.0,0.0
2018-10-11,88.86531066894531,23.92338180541992,,0,0.0,0.0,100000.0,0.0
2018-10-12,87.89554595947266,24.007741928100582,,0,0.0,0.0,100000.0,0.0
2018-10-15,87.39421844482422,23.552215576171875,,0,0.0,0.0,100000.0,0.0
2018-10-16,89.26801300048828,24.066789627075195,,0,0.0,0.0,100000.0,0.0
2018-10-17,90.26245880126952,24.37890625,,0,0.0,0.0,100000.0,0.0
2018-10-18,88.83244323730469,23.830596923828125,,0,0.0,0.0,100000.0,0.0
2018-10-19,88.68452453613281,23.8896427154541,,0,0.0,0.0,100000.0,0.0
2018-10-22,87.4106674194336,23.096694946289062,,0,0.0,0.0,100000.0,0.0
2018-10-23,86.49842071533203,22.793012619018555,,0,0.0,0.0,100000.0,0.0
2018-10-24,84.88761138916016,22.092853546142575,,0,0.0,0.0,100000.0,0.0
2018-10-25,86.17790222167969,22.43028259277344,,0,0.0,0.0,100000.0,0.0
2018-10-26,84.99445343017578,22.26156997680664,,0,0.0,0.0,100000.0,0.0
2018-10-29,86.169677734375,22.44715690612793,,0,0.0,0.0,100000.0,0.0
2018-10-30,87.6900863647461,22.590560913085938,,0,0.0,0.0,100000.0,0.0
2018-10-31,89.59674072265625,23.197925567626953,,0,0.0,0.0,100000.0,0.0
2018-11-01,89.56388092041016,23.459428787231445,,0,0.0,0.0,100000.0,0.0
