date,JPM,BAC,spread,zscore_full
2021-02-26,130.18646240234375,30.92109489440918,-63.5810352415572,-0.19638521381720325
2021-03-01,133.1321258544922,31.883197784423828,-66.66440375320934,-0.3044397681221599
2021-03-02,132.69863891601562,31.651582717895508,-65.64647145795325,-0.2687670225321163
2021-03-03,135.2640380859375,32.444427490234375,-68.04944575865929,-0.3529776240504952
2021-03-04,133.1852264404297,32.67719268798828,-71.58688395220426,-0.4769447418115902
2021-03-05,133.49485778808594,33.06216812133789,-73.68970684102521,-0.5506367410569415
2021-03-08,135.2640380859375,33.24121856689453,-73.04254880357584,-0.5279575273861782
2021-03-09,134.30865478515625,32.516048431396484,-69.45364274457276,-0.4021867532531358
2021-03-10,137.2278289794922,33.456085205078125,-72.42522287027455,-0.5063237595340118
2021-03-11,136.51132202148438,33.33969497680664,-72.41236874455032,-0.5058732954325387
2021-03-12,138.130126953125,33.96638107299805,-74.7207014864592,-0.5867672478329461
2021-03-15,137.44017028808594,33.7962760925293,-74.34469278013123,-0.5735902782221086
2021-03-16,135.7947998046875,33.69780731201172,-75.37300719672177,-0.6096268581995423
2021-03-17,137.19244384765625,33.97533416748047,-75.71448929067657,-0.6215938661410089
2021-03-18,139.45703125,34.86164855957031,-79.00400411102211,-0.7368726777552361
2021-03-19,137.23667907714844,34.494590759277344,-78.92418315946392,-0.7340754067471734
2021-03-22,133.5478973388672,33.71570587158203,-77.73207125032584,-0.6922986549457727
2021-03-23,132.21212768554688,33.03530502319336,-74.80409894246168,-0.589689855008981
2021-03-24,133.23828125,33.03530502319336,-73.77794537800855,-0.5537290006263782
2021-03-25,134.94554138183594,33.71570587158203,-76.3344272073571,-0.6433191691758265
2021-03-26,137.19244384765625,34.62887954711914,-79.80994106047194,-0.76511619050488
2021-03-29,135.06056213378906,34.29763412475586,-79.86606844492385,-0.7670831365537661
2021-03-30,136.65283203125,34.90641403198242,-82.0887268235152,-0.8449746891084681
2021-03-31,134.6624755859375,34.63782501220703,-82.39596621122584,-0.8557416846779378
2021-04-01,135.97171020507812,35.35404586791992,-85.57494015797766,-0.9671466664909227
2021-04-05,136.69244384765625,35.63157653808594,-86.59335655717982,-1.0028363771748017
2021-04-06,135.73146057128906,35.5330924987793,-86.93718814731218,-1.0148857216133005
2021-04-07,137.8581085205078,35.85539627075195,-86.83026154333027,-1.0111385514346642
2021-04-08,138.02716064453125,35.542049407958984,-84.69761667767534,-0.9364014612755573
2021-04-09,139.05934143066406,35.80168533325195,-85.29244825039578,-0.9572469295463556
2021-04-12,138.7657012939453,35.86434555053711,-85.97874956378467,-0.981297892724094
2021-04-13,137.1106414794922,35.20185470581055,-83.48230071940725,-0.8938115393398249
2021-04-14,134.5480194091797,35.70320129394531,-89.18661858564533,-1.093715482809718
2021-04-15,135.4022216796875,34.682594299316406,-81.93676751607566,-0.8396493784374218
2021-04-16,136.40769958496094,35.04966354370117,-83.23153444978217,-0.8850236058195027
2021-04-19,135.82933044433594,35.06755828857422,-83.92204127333423,-0.9092219482432143
2021-04-20,132.82177734375,34.09172058105469,-80.81449297345813,-0.8003200296904052
2021-04-21,133.9518280029297,34.66468811035156,-83.27495179533625,-0.8865451371918381
2021-04-22,131.1311492919922,34.34239959716797,-84.07600478046385,-0.9146174947305217
2021-04-23,133.64039611816406,35.07651138305664,-86.16708029825472,-0.9878978153406033
2021-04-26,133.96966552734375,35.28242874145508,-87.12819505543655,-1.0215794289170332
