date,KO,PEP,zscore,signal,pos_y,pos_x,equity,ret
2018-10-01,37.24398422241211,89.7086181640625,,0,0.0,0.0,100000.0,
2018-10-02,37.46955871582031,88.09609985351562,,0,0.0,0.0,100000.0,0.0
2018-10-03,36.95396423339844,87.12372589111328,,0,0.0,0.0,100000.0,0.0
2018-10-04,36.93784713745117,86.3863525390625,,0,0.0,0.0,100000.0,0.0
2018-10-05,36.96202087402344,86.28911590576172,,0,0.0,0.0,100000.0,0.0
2018-10-08,37.44539260864258,87.6666488647461,,0,0.0,0.0,100000.0,0.0
2018-10-09,37.372894287109375,87.60992431640625,,0,0.0,0.0,100000.0,0.0
2018-10-10,36.80089569091797,86.97786712646484,,0,0.0,0.0,100000.0,0.0
2018-10-11,35.963050842285156,85.13038635253906,,0,0.0,0.0,100000.0,0.0
2018-10-12,35.995269775390625,85.30864715576172,,0,0.0,0.0,100000.0,0.0
2018-10-15,36.18056106567383,85.59226989746094,,0,0.0,0.0,100000.0,0.0
2018-10-16,36.647823333740234,87.01839447021484,,0,0.0,0.0,100000.0,0.0
2018-10-17,36.9459114074707,87.76388549804688,,0,0.0,0.0,100000.0,0.0
2018-10-18,36.7445068359375,87.45596313476562,,0,0.0,0.0,100000.0,0.0
2018-10-19,37.32454681396485,89.36825561523438,,0,0.0,0.0,100000.0,0.0
2018-10-22,37.0345344543457,88.64708709716797,,0,0.0,0.0,100000.0,0.0
2018-10-23,37.348724365234375,89.2386245727539,,0,0.0,0.0,100000.0,0.0
2018-10-24,37.64680099487305,91.5317840576172,,0,0.0,0.0,100000.0,0.0
2018-10-25,37.46955871582031,91.44264221191406,,0,0.0,0.0,100000.0,0.0
2018-10-26,36.99424362182617,89.49794006347656,,0,0.0,0.0,100000.0,0.0
2018-10-29,37.42928314208984,91.47506713867188,,0,0.0,0.0,100000.0,0.0
2018-10-30,38.371864318847656,92.18809509277344,,0,0.0,0.0,100000.0,0.0
2018-10-31,38.573265075683594,91.06182098388672,,0,0.0,0.0,100000.0,0.0
2018-11-01,38.460479736328125,90.35682678222656,,0,0.0,0.0,100000.0,0.0
2018-11-02,38.66994857788086,90.0813446044922,,0,0.0,0.0,100000.0,0.0
2018-11-05,39.2258186340332,92.69051361083984,,0,0.0,0.0,100000.0,0.0
2018-11-06,39.5641975402832,93.35496520996094,,0,0.0,0.0,100000.0,0.0
2018-11-07,39.773651123046875,93.6790771484375,,0,0.0,0.0,100000.0,0.0
2018-11-08,39.741432189941406,94.04370880126952,,0,0.0,0.0,100000.0,0.0
2018-11-09,40.02338790893555,95.19436645507812,,0,0.0,0.0,100000.0,0.0
2018-11-12,40.176456451416016,94.78111267089844,,0,0.0,0.0,100000.0,0.0
2018-11-13,40.16841125488281,94.9188461303711,,0,0.0,0.0,100000.0,0.0
2018-11-14,40.08784103393555,94.52181243896484,,0,0.0,0.0,100000.0,0.0
2018-11-15,40.07172393798828,94.64332580566406,,0,0.0,0.0,100000.0,0.0
2018-11-16,40.41814804077149,95.8993148803711,,0,0.0,0.0,100000.0,0.0
2018-11-19,40.69205474853515,96.43413543701172,,0,0.0,0.0,100000.0,0.0
2018-11-20,39.78170394897461,93.99510192871094,,0,0.0,0.0,100000.0,0.0
2018-11-21,39.2580451965332,93.41168212890624,,0,0.0,0.0,100000.0,0.0
