date,MA,V,spread,zscore_full,signal,position
2018-10-01,214.9102020263672,143.35154724121094,-32.5203680782071,-0.8489711532998668,0,0
2018-10-02,213.56564331054688,142.28683471679688,-32.02718990186838,-0.8126480422633818,0,0
2018-10-03,214.29554748535156,142.00157165527344,-30.80491014200109,-0.7226258037188771,0,0
2018-10-04,207.5918731689453,139.52035522460938,-33.225904516634444,-0.9009346821476674,0,0
2018-10-05,205.05352783203125,138.18939208984375,-33.466953636235274,-0.9186882129334548,0,0
2018-10-08,200.24591064453125,134.89059448242188,-32.58071269403837,-0.8534156001275135,0,0
2018-10-09,201.6881561279297,135.28981018066406,-31.82752965685512,-0.7979428472707153,0,0
2018-10-10,189.1211395263672,128.83482360839844,-33.25297828562421,-0.9029286947872616,0,0
2018-10-11,187.02503967285156,127.13308715820312,-32.41181217903787,-0.8409758928273487,0,0
2018-10-12,196.36138916015625,133.1508331298828,-33.46233569849454,-0.918348096777948,0,0
2018-10-15,192.61146545410156,130.46044921875,-32.56854792920913,-0.8525196519188856,0,0
2018-10-16,199.7844390869141,134.74795532226562,-32.79598329048059,-0.869270514543051,0,0
2018-10-17,199.39976501464844,135.42298889160156,-34.345792613218805,-0.9834156629215082,0,0
2018-10-18,195.784423828125,132.4187774658203,-32.77574333761521,-0.8677798199207539,0,0
2018-10-19,195.2460021972656,133.1698760986328,-34.6105915958681,-1.0029183970459652,0,0
2018-10-22,196.6305999755859,133.7022705078125,-34.14492810684541,-0.9686217727651064,0,0
2018-10-23,194.64024353027344,132.25721740722656,-33.641064438106895,-0.9315116635491828,0,0
2018-10-24,188.15960693359375,127.63692474365234,-32.146888974512535,-0.821464009626122,0,0
2018-10-25,196.34214782714844,133.58816528320312,-34.23643002125786,-0.9753609886443012,0,0
2018-10-26,189.89035034179688,130.94529724121094,-36.12653034375316,-1.1145689406136536,0,0
2018-10-29,183.68858337402344,127.70350646972656,-36.732835286980475,-1.1592239615197086,0,0
2018-10-30,180.50592041015625,126.2109832763672,-37.33934283617458,-1.2038939045763808,0,0
2018-10-31,190.0633850097656,131.0498809814453,-36.13401144256801,-1.1151199317076717,0,0
2018-11-01,192.02493286132812,133.88287353515625,-39.06232335294598,-1.3307933004275971,0,0
2018-11-02,190.11148071289065,132.88465881347656,-39.25281650704218,-1.3448233291675031,0,0
2018-11-05,190.36146545410156,132.9036865234375,-39.03567436302694,-1.3288305732302472,0,0
2018-11-06,191.48646545410156,133.84483337402344,-39.535131903068475,-1.3656161662579451,0,0
2018-11-07,200.2266845703125,137.6380615234375,-37.34217803518422,-1.20410272007832,0,0
2018-11-08,200.82281494140625,138.0658416748047,-37.48441351203002,-1.21457851821106,0,0
2018-11-09,197.70748901367188,136.8299560546875,-38.466550859280545,-1.2869140059289077,0,0
2018-11-12,191.4768829345703,132.82762145996094,-37.78896550563723,-1.23700910498662,0,0
2018-11-13,190.5441436767578,132.82762145996094,-38.721704763449736,-1.3057063694948188,0,0
2018-11-14,189.9768829345703,132.60897827148438,-38.911578516690355,-1.3196907786855785,0,0
2018-11-15,192.9864501953125,135.0851287841797,-40.17594721835545,-1.412812913737425,0,0
2018-11-16,191.3807678222656,133.50416564941406,-39.05282325985186,-1.3300936082009938,0,0
2018-11-19,181.9963226318359,128.34228515625,-39.52765388514422,-1.3650654020748825,0,0
2018-11-20,179.86170959472656,127.01850128173828,-39.377362398589554,-1.353996270033212,0,0
2018-11-21,180.43858337402344,128.01852416992188,-40.526568582172615,-1.4386365599178834,0,0
2018-11-23,175.5733642578125,126.5423355102539,-42.84382634970723,-1.609305123995846,0,0
2018-11-26,184.4673614501953,129.46612548828125,-38.99640894702182,-1.325938632479673,0,0
2018-11-27,185.5538787841797,129.43751525878906,-37.86050919945134,-1.2422783761325216,0,0
2018-11-28,194.49598693847656,134.64707946777344,-37.91031963293531,-1.2459469689312652,0,0
2018-11-29,189.09230041503903,132.4756622314453,-39.56605215755397,-1.3678934767530908,0,0
2018-11-30,193.3325653076172,134.96131896972656,-39.61613135733731,-1.371581864483166,0,0
2018-12-03,201.78436279296875,138.09466552734375,-36.57261679607507,-1.1474236947713718,0,0
2018-12-04,192.77488708496097,132.03753662109375,-35.127242958939746,-1.040970333908463,0,0
2018-12-06,195.1786651611328,134.33277893066406,-36.68514596758746,-1.1557115910891542,0,0
2018-12-07,188.93844604492188,130.58041381835938,-36.448631090716304,-1.1382920122299485,0,0
2018-12-10,190.43841552734375,131.31378173828125,-36.21448430790818,-1.1210468460834764,0,0
2018-12-11,190.13072204589844,130.29470825195312,-34.763215723347,-1.0141593306379968,0,0
2018-12-12,192.5825653076172,131.23751831054688,-33.938700765979576,-0.9534329039943114,0,0
2018-12-13,191.30381774902344,130.98995971679688,-34.79015217629541,-1.0161432298012518,0,0
2018-12-14,187.81344604492188,128.65660095214844,-34.253052252037094,-0.9765852340858788,0,0
2018-12-17,183.12123107910156,125.142333984375,-32.87950025496076,-0.8754216301434297,0,0
2018-12-18,184.23663330078125,126.34236907958984,-33.835407157380615,-0.9458252169665656,0,0
2018-12-19,179.91943359375,125.0089874267578,-35.85113618707015,-1.094285860356011,0,0
2018-12-20,175.6790771484375,122.6280517578125,-35.98190134238999,-1.1039168567874578,0,0
2018-12-21,168.4484405517578,118.34235382080078,-35.815249913524326,-1.0916427971362073,0,0
2018-12-24,167.92922973632812,115.93285369873048,-32.17556603723699,-0.8235761065994179,0,0
2018-12-26,179.25592041015625,124.02803802490234,-34.82149101684141,-1.0184513696166788,0,0
