date,KO,PEP,spread,zscore_full,signal,position
2018-10-01,37.24398422241211,89.7086181640625,9.901982543137017,-0.072148143399284,0,0
2018-10-02,37.46955871582031,88.09609985351562,10.619031314682044,0.044225128440197,0,0
2018-10-03,36.95396423339844,87.12372589111328,10.39980357000509,0.0086456100887799,0,0
2018-10-04,36.93784713745117,86.3863525390625,10.60842813035169,0.0425042869836507,0,0
2018-10-05,36.96202087402344,86.28911590576172,10.662238308164582,0.0512373978944435,0,0
2018-10-08,37.44539260864258,87.6666488647461,10.725756195420637,0.0615460193629543,0,0
2018-10-09,37.372894287109375,87.60992431640625,10.670546766835574,0.0525858173574643,0,0
2018-10-10,36.80089569091797,86.97786712646484,10.291190852054893,-0.0089816669568367,0,0
2018-10-11,35.963050842285156,85.13038635253906,10.016433736316657,-0.0535733123071832,0,0
2018-10-12,35.995269775390625,85.30864715576172,9.994321131596529,-0.0571620726011723,0,0
2018-10-15,36.18056106567383,85.59226989746094,10.093167957139029,-0.041119748904639,0,0
2018-10-16,36.647823333740234,87.01839447021484,10.12576629590735,-0.0358292087216782,0,0
2018-10-17,36.9459114074707,87.76388549804688,10.196638553008135,-0.0243270114252572,0,0
2018-10-18,36.7445068359375,87.45596313476562,10.089084649852468,-0.0417824483578981,0,0
2018-10-19,37.32454681396485,89.36825561523438,10.086283143055926,-0.0422371182840336,0,0
2018-10-22,37.0345344543457,88.64708709716797,10.016073420413647,-0.0536317896969968,0,0
2018-10-23,37.348724365234375,89.2386245727539,10.149970523522745,-0.0319009889523569,0,0
2018-10-24,37.64680099487305,91.5317840576172,9.749122437017526,-0.0969565405248041,0,0
2018-10-25,37.46955871582031,91.44264221191406,9.599049414885588,-0.1213126084707846,0,0
2018-10-26,36.99424362182617,89.49794006347656,9.716453844349324,-0.1022584825489126,0,0
2018-10-29,37.42928314208984,91.47506713867188,9.5488911518438,-0.1294530326812339,0,0
2018-10-30,38.371864318847656,92.18809509277344,10.274150827976555,-0.0117471738971064,0,0
2018-10-31,38.573265075683594,91.06182098388672,10.818825054036893,0.076650609194693,0,0
2018-11-01,38.460479736328125,90.35682678222656,10.920912633695943,0.0932188903640466,0,0
2018-11-02,38.66994857788086,90.0813446044922,11.214344803637571,0.1408413995073059,0,0
2018-11-05,39.2258186340332,92.69051361083984,10.97497461628733,0.1019928678756914,0,0
2018-11-06,39.5641975402832,93.35496520996094,11.11083745316994,0.1240426969484828,0,0
2018-11-07,39.773651123046875,93.6790771484375,11.221505998916406,0.1420036241117545,0,0
2018-11-08,39.741432189941406,94.04370880126952,11.078152155162588,0.1187380437350506,0,0
2018-11-09,40.02338790893555,95.19436645507812,11.00940262257022,0.107580353543392,0,0
2018-11-12,40.176456451416016,94.78111267089844,11.288425458988684,0.1528643030883915,0,0
2018-11-13,40.16841125488281,94.9188461303711,11.238400923599697,0.1447455821777861,0,0
2018-11-14,40.08784103393555,94.52181243896484,11.278841326596108,0.1513088484407759,0,0
2018-11-15,40.07172393798828,94.64332580566406,11.225688561787369,0.1426824322281389,0,0
2018-11-16,40.41814804077149,95.8993148803711,11.189303787423611,0.1367773733173925,0,0
2018-11-19,40.69205474853515,96.43413543701172,11.30020425501717,0.1547759401855605,0,0
2018-11-20,39.78170394897461,93.99510192871094,11.13323864680811,0.127678293717119,0,0
2018-11-21,39.2580451965332,93.41168212890624,10.787398541810465,0.0715502503412601,0,0
2018-11-23,39.49168395996094,93.51703643798828,10.98892670366175,0.1042572188113371,0,0
2018-11-26,39.37083435058594,93.88166809082033,10.75694218363839,0.0666073424255789,0,0
2018-11-27,39.773651123046875,94.3516616821289,11.016511118535874,0.1087340253244598,0,0
2018-11-28,40.04755783081055,96.02086639404295,10.781666281907892,0.0706199344877663,0,0
2018-11-29,39.77147674560547,95.83450317382812,10.562386244186904,0.0350319292483293,0,0
2018-11-30,40.92451095581055,98.8083038330078,10.809045300241042,0.0750634062146845,0,0
2018-12-03,40.34800338745117,96.40979766845705,10.963570724263327,0.1001420757410394,0,0
2018-12-04,40.25867462158203,95.45365142822266,11.165662700806138,0.1329405483918188,0,0
2018-12-06,40.09627914428711,95.4275131225586,11.011233833765464,0.1078775495594457,0,0
2018-12-07,39.86079788208008,94.59444427490234,11.0296609506833,0.110868174425418,0,0
2018-12-10,39.98260116577149,94.89663696289062,11.059359895331957,0.1156881580807788,0,0
2018-12-11,40.2261962890625,95.79505157470705,11.029130113862472,0.1107820223809488,0,0
2018-12-12,39.96636962890625,95.55819702148438,10.841493592452023,0.0803295946247968,0,0
2018-12-13,40.16937255859375,96.6607894897461,10.708440904120376,0.0587358379897637,0,0
2018-12-14,40.06380462646485,93.06714630126952,11.698167940356116,0.2193633685084642,0,0
2018-12-17,39.243682861328125,92.18505859375,11.146894855244296,0.1298946250459023,0,0
2018-12-18,39.23556137084961,91.34382629394533,11.395169856258434,0.1701883614422578,0,0
2018-12-19,38.894527435302734,89.87370300292969,11.50221007807043,0.1875604305748015,0,0
2018-12-20,38.60220718383789,90.01252746582031,11.167577964321204,0.1332513856605345,0,0
2018-12-21,38.6265754699707,89.36731719970703,11.38859781571714,0.169121753575677,0,0
2018-12-24,37.31925964355469,86.59858703613281,10.925154365570016,0.0939073013007084,0,0
2018-12-26,38.115013122558594,88.47708129882812,11.148367610020408,0.1301336454566677,0,0
2018-12-27,38.594085693359375,89.36731719970703,11.356108039105813,0.1638488324639829,0,0
2018-12-28,38.326133728027344,90.13506317138672,10.854157244268546,0.0823848391964444,0,0
